Removed Pin From Net: NetName=Cell3 Pin=C16-1
Removed Pin From Net: NetName=BAT+ Pin=C16-2
Removed Member From Class: ClassName=U_Cell monitoring and balancing Member=C16
Change component parameters: Designator = "R11" ("R11"); Footprint = "0603-RW"; UniqueID = "\MDUYISJT" ("\MDUYISJT")
Change component parameters (AddParameter): Name = "CREATE_NAME"; Value = "Tom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREATE_TIME"; Value = "17-Dec-2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Customer Specific"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIP&SMD"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = "WALSIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PACKAGE"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SAP"; Value = "T502976002399"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TOL"; Value = "+-1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "50K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor Code"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor Name"; Value = ""; VariantName = "[No Variations]"
