* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 13, 2016 7:03:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TW SPL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 500.7 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
500.686	61.181	154.416
507.968	61.397	147.547
515.357	61.642	137.459
522.853	61.820	122.677
530.458	61.982	99.754
538.174	62.026	62.798
546.002	61.766	6.357
553.943	61.562	-71.953
562.001	61.734	-125.974
570.175	61.801	-159.226
578.469	61.997	-176.999
586.883	62.377	170.674
595.419	62.481	164.306
604.080	62.701	161.299
612.866	62.948	160.592
621.780	63.465	160.725
630.824	63.910	160.461
640.000	64.526	160.924
649.309	65.396	159.359
658.753	66.173	157.155
668.335	66.708	155.718
678.056	67.308	153.047
687.919	67.740	148.922
697.925	67.809	145.521
708.076	67.795	142.789
718.376	67.706	141.115
728.825	67.349	140.774
739.426	67.189	143.863
750.181	67.544	147.479
761.093	68.155	149.736
772.163	68.999	151.212
783.394	69.996	149.503
794.789	70.596	145.061
806.349	70.808	141.898
818.078	71.001	139.565
829.977	71.229	138.611
842.050	71.635	136.996
854.297	71.943	133.731
866.724	71.890	131.447
879.330	71.805	130.025
892.120	71.546	129.784
905.097	71.652	132.548
918.262	72.039	133.435
931.618	72.646	133.811
945.169	73.196	132.085
958.917	73.717	130.460
972.864	74.242	127.559
987.015	74.558	123.410
1001.371	74.518	119.440
1015.937	74.113	117.329
1030.714	73.850	119.658
1045.706	74.081	121.286
1060.916	74.430	121.818
1076.347	74.817	122.371
1092.003	75.349	122.992
1107.887	76.092	122.923
1124.001	76.908	120.211
1140.350	77.545	115.617
1156.937	77.855	109.966
1173.765	77.823	104.384
1190.838	77.516	100.873
1208.159	77.253	99.148
1225.732	77.094	98.819
1243.561	77.066	99.674
1261.649	77.468	99.833
1280.000	77.989	98.591
1298.618	78.366	94.468
1317.507	78.330	89.804
1336.670	78.018	87.154
1356.113	77.716	86.789
1375.838	77.678	86.835
1395.850	77.736	86.750
1416.153	77.903	87.226
1436.751	78.309	86.228
1457.649	78.491	83.511
1478.851	78.435	80.975
1500.362	78.322	79.422
1522.185	78.139	78.784
1544.326	78.043	80.372
1566.789	78.349	82.122
1589.578	78.904	81.520
1612.699	79.386	78.889
1636.156	79.552	75.288
1659.955	79.375	72.873
1684.099	79.330	71.783
1708.595	79.328	71.933
1733.447	79.667	72.065
1758.661	80.089	70.140
1784.241	80.274	66.256
1810.193	80.158	63.068
1836.523	80.036	61.277
1863.236	79.923	60.452
1890.338	80.011	60.369
1917.833	80.305	58.701
1945.729	80.338	55.277
1974.030	80.123	52.724
2002.743	79.810	51.732
2031.873	79.634	52.793
2061.428	79.920	53.686
2091.412	80.237	51.918
2121.832	80.374	49.354
2152.695	80.332	46.348
2184.007	80.010	45.209
2215.774	80.083	46.356
2248.003	80.417	45.045
2280.701	80.591	42.120
2313.874	80.532	39.166
2347.530	80.363	37.341
2381.676	80.307	36.449
2416.318	80.403	34.949
2451.464	80.480	32.201
2487.122	80.293	28.558
2523.298	79.899	26.725
2560.000	79.650	26.357
2597.236	79.608	25.559
2635.014	79.518	23.453
2673.341	79.168	21.737
2712.226	78.971	21.674
2751.676	78.921	20.720
2791.700	78.732	18.539
2832.306	78.259	17.661
2873.503	78.017	18.458
2915.299	78.054	18.450
2957.703	77.806	16.122
3000.724	77.311	16.915
3044.370	77.272	18.657
3088.652	77.341	17.699
3133.577	77.083	16.320
3179.156	76.656	16.890
3225.398	76.628	18.692
3272.312	76.580	18.168
3319.909	76.429	17.823
3368.198	76.188	18.554
3417.190	76.163	19.089
3466.894	75.912	19.073
3517.321	75.679	20.997
3568.482	75.793	22.254
3620.387	75.687	22.805
3673.046	75.631	25.640
3726.472	75.986	26.719
3780.675	76.166	26.493
3835.666	76.235	27.087
3891.457	76.541	26.865
3948.060	76.598	25.281
4005.486	76.678	24.823
4063.747	76.678	22.556
4122.855	76.241	21.395
4182.824	76.085	23.889
4243.664	76.115	23.602
4305.390	75.783	25.047
4368.013	76.044	28.171
4431.547	76.135	28.048
4496.005	76.309	30.402
4561.401	76.646	30.178
4627.749	76.733	30.709
4695.061	77.070	31.173
4763.352	77.247	30.728
4832.637	77.583	31.315
4902.929	77.895	29.458
4974.244	78.039	28.616
5046.596	78.216	26.554
5120.000	78.154	25.424
5194.472	78.215	24.640
5270.027	78.158	24.057
5346.682	78.322	24.136
5424.451	78.378	22.900
5503.352	78.482	22.227
5583.399	78.447	20.750
5664.612	78.348	20.800
5747.006	78.328	20.698
5830.598	78.421	21.432
