* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 12, 2016 6:25:29 PM
* Sense Resistor: 100.0
* Lead resistance: 0.000
* Calibration factor: 1.0060
* Note: 
* Measurement: TW Z
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 500.7 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
500.686	5.911	15.889
507.968	5.929	15.998
515.357	5.951	16.131
522.853	5.977	16.277
530.458	6.005	16.430
538.174	6.035	16.589
546.002	6.067	16.750
553.943	6.101	16.912
562.001	6.136	17.074
570.175	6.172	17.235
578.469	6.210	17.393
586.883	6.250	17.549
595.419	6.292	17.702
604.080	6.335	17.851
612.866	6.380	17.996
621.780	6.427	18.135
630.824	6.476	18.269
640.000	6.527	18.397
649.309	6.580	18.518
658.753	6.635	18.632
668.335	6.693	18.737
678.056	6.753	18.833
687.919	6.815	18.920
697.925	6.881	18.994
708.076	6.949	19.056
718.376	7.020	19.104
728.825	7.095	19.135
739.426	7.172	19.149
750.181	7.253	19.144
761.093	7.337	19.118
772.163	7.425	19.070
783.394	7.516	18.998
794.789	7.611	18.900
806.349	7.709	18.773
818.078	7.812	18.615
829.977	7.918	18.422
842.050	8.028	18.192
854.297	8.142	17.920
866.724	8.260	17.605
879.330	8.380	17.243
892.120	8.505	16.832
905.097	8.632	16.367
918.262	8.761	15.846
931.618	8.892	15.264
945.169	9.024	14.617
958.917	9.156	13.905
972.864	9.287	13.126
987.015	9.416	12.280
1001.371	9.541	11.365
1015.937	9.661	10.378
1030.714	9.775	9.323
1045.706	9.880	8.205
1060.916	9.977	7.024
1076.347	10.062	5.782
1092.003	10.135	4.486
1107.887	10.192	3.142
1124.001	10.234	1.758
1140.350	10.258	0.343
1156.937	10.264	-1.092
1173.765	10.252	-2.537
1190.838	10.219	-3.976
1208.159	10.169	-5.398
1225.732	10.101	-6.794
1243.561	10.016	-8.157
1261.649	9.916	-9.474
1280.000	9.801	-10.734
1298.618	9.674	-11.932
