* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 13, 2016 7:02:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: WF SPL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 81.2 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
81.164	66.320	-28.314
82.344	66.565	-29.837
83.542	66.713	-31.948
84.757	66.705	-33.863
85.990	66.618	-34.614
87.241	66.827	-34.928
88.510	67.131	-37.286
89.797	67.268	-40.051
91.103	67.323	-41.536
92.428	67.606	-41.720
93.773	68.152	-42.952
95.137	68.789	-46.338
96.520	69.310	-51.696
97.924	69.621	-58.402
99.349	69.589	-64.814
100.794	69.322	-69.742
102.260	68.931	-72.571
103.747	68.615	-74.395
105.256	68.347	-76.224
106.787	68.102	-79.007
108.340	67.725	-82.045
109.916	67.255	-84.506
111.515	66.699	-85.671
113.137	66.163	-85.519
114.783	65.677	-84.843
116.452	65.260	-84.016
118.146	64.886	-82.224
119.865	64.831	-79.580
121.608	64.964	-76.867
123.377	65.082	-74.431
125.171	65.188	-71.081
126.992	65.465	-67.544
128.839	65.930	-64.816
130.713	66.571	-63.655
132.615	67.191	-63.806
134.543	67.777	-64.239
136.500	68.379	-65.503
138.486	68.943	-67.996
140.500	69.374	-71.990
142.544	69.467	-76.124
144.617	69.330	-78.085
146.721	69.165	-77.657
148.855	69.290	-75.385
151.020	69.931	-74.660
153.217	70.638	-76.803
155.445	71.248	-81.108
157.706	71.526	-86.392
160.000	71.592	-90.316
162.327	71.716	-93.289
164.688	71.844	-95.963
167.084	72.025	-98.688
169.514	72.178	-102.828
171.980	72.062	-107.154
174.481	71.752	-109.717
177.019	71.493	-111.055
179.594	71.334	-111.610
182.206	71.422	-111.664
184.856	71.767	-111.953
187.545	72.278	-115.164
190.273	72.460	-120.378
193.041	72.321	-124.675
