* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 8, 2016 10:50:44 AM
* Sense Resistor: 100.0
* Lead resistance: 0.000
* Calibration factor: 1.0060
* Note: Z woofer
* Measurement: WF Z
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
20.291	6.496	12.100
20.586	6.506	12.211
20.885	6.518	12.333
21.189	6.532	12.467
21.497	6.547	12.610
21.810	6.562	12.760
22.127	6.579	12.916
22.449	6.596	13.076
22.776	6.613	13.240
23.107	6.632	13.407
23.443	6.651	13.576
23.784	6.670	13.747
24.130	6.691	13.919
24.481	6.712	14.093
24.837	6.734	14.268
25.198	6.756	14.445
25.565	6.780	14.621
25.937	6.805	14.796
26.314	6.830	14.970
26.697	6.857	15.144
27.085	6.884	15.319
27.479	6.913	15.494
27.879	6.943	15.670
28.284	6.974	15.846
28.696	7.007	16.023
29.113	7.041	16.201
29.537	7.076	16.378
29.966	7.113	16.555
30.402	7.151	16.732
30.844	7.191	16.908
31.293	7.232	17.084
31.748	7.276	17.260
32.210	7.321	17.432
32.678	7.368	17.601
33.154	7.418	17.765
33.636	7.469	17.922
34.125	7.523	18.073
34.621	7.579	18.216
35.125	7.638	18.351
35.636	7.700	18.478
36.154	7.764	18.595
36.680	7.833	18.702
37.214	7.905	18.794
37.755	7.981	18.871
38.304	8.060	18.933
38.861	8.144	18.976
39.427	8.233	18.999
40.000	8.325	18.995
40.582	8.423	18.962
41.172	8.524	18.897
41.771	8.631	18.797
42.379	8.741	18.653
42.995	8.856	18.462
43.620	8.976	18.220
44.255	9.099	17.918
44.898	9.225	17.550
45.552	9.354	17.106
46.214	9.484	16.583
46.886	9.612	15.977
47.568	9.739	15.286
48.260	9.861	14.506
48.962	9.977	13.630
49.674	10.083	12.657
50.397	10.175	11.589
51.130	10.250	10.433
51.874	10.304	9.194
52.628	10.333	7.884
53.394	10.333	6.518
54.170	10.300	5.116
54.958	10.229	3.713
55.758	10.118	2.358
56.569	9.968	1.108
57.391	9.785	0.022
58.226	9.577	-0.856
59.073	9.354	-1.495
59.932	9.124	-1.882
60.804	8.896	-2.016
61.688	8.676	-1.903
62.586	8.470	-1.554
63.496	8.283	-0.989
64.420	8.118	-0.231
65.357	7.979	0.690
66.307	7.865	1.749
67.272	7.779	2.918
68.250	7.723	4.161
69.243	7.697	5.439
70.250	7.699	6.712
71.272	7.728	7.948
72.309	7.781	9.120
73.360	7.854	10.217
74.427	7.948	11.228
75.510	8.059	12.142
76.608	8.186	12.954
77.723	8.329	13.660
78.853	8.485	14.257
80.000	8.653	14.741
81.164	8.834	15.110
82.344	9.024	15.363
83.542	9.222	15.501
84.757	9.429	15.527
85.990	9.643	15.438
87.241	9.863	15.237
88.510	10.087	14.925
89.797	10.315	14.495
91.103	10.544	13.946
92.428	10.772	13.277
93.773	10.997	12.487
95.137	11.215	11.579
96.520	11.424	10.558
97.924	11.620	9.431
99.349	11.801	8.205
100.794	11.962	6.891
102.260	12.100	5.508
103.747	12.215	4.070
105.256	12.304	2.592
106.787	12.368	1.083
108.340	12.405	-0.450
109.916	12.414	-1.991
111.515	12.396	-3.531
113.137	12.350	-5.046
114.783	12.279	-6.525
116.452	12.183	-7.950
118.146	12.066	-9.308
119.865	11.930	-10.591
121.608	11.779	-11.795
123.377	11.615	-12.916
125.171	11.441	-13.952
126.992	11.261	-14.899
128.839	11.076	-15.762
130.713	10.889	-16.542
132.615	10.701	-17.237
134.543	10.513	-17.849
136.500	10.328	-18.384
138.486	10.146	-18.848
140.500	9.967	-19.239
142.544	9.793	-19.562
144.617	9.624	-19.820
146.721	9.461	-20.019
148.855	9.304	-20.167
151.020	9.153	-20.268
153.217	9.008	-20.321
155.445	8.870	-20.331
157.706	8.739	-20.301
160.000	8.614	-20.236
162.327	8.495	-20.144
164.688	8.382	-20.021
167.084	8.274	-19.876
169.514	8.170	-19.709
171.980	8.072	-19.522
174.481	7.978	-19.315
177.019	7.890	-19.094
179.594	7.805	-18.860
182.206	7.724	-18.613
184.856	7.648	-18.348
187.545	7.575	-18.068
190.273	7.505	-17.776
193.041	7.440	-17.477
195.849	7.379	-17.177
198.697	7.322	-16.876
201.587	7.267	-16.574
204.520	7.215	-16.272
207.494	7.165	-15.971
210.512	7.116	-15.670
213.574	7.069	-15.367
216.681	7.024	-15.058
219.833	6.980	-14.742
223.030	6.939	-14.419
226.274	6.900	-14.089
229.565	6.863	-13.754
232.905	6.828	-13.412
236.292	6.795	-13.070
239.729	6.765	-12.732
243.216	6.736	-12.399
246.754	6.710	-12.071
250.343	6.685	-11.748
253.984	6.661	-11.432
257.678	6.637	-11.121
261.426	6.614	-10.813
265.229	6.592	-10.494
269.087	6.570	-10.171
273.001	6.550	-9.852
276.972	6.531	-9.535
281.000	6.513	-9.222
285.088	6.497	-8.906
289.234	6.481	-8.589
293.441	6.467	-8.269
297.710	6.454	-7.954
302.040	6.442	-7.648
306.433	6.431	-7.346
310.890	6.420	-7.043
315.412	6.409	-6.743
320.000	6.400	-6.444
324.655	6.391	-6.148
329.377	6.384	-5.853
334.168	6.377	-5.560
339.028	6.370	-5.270
343.959	6.364	-4.980
348.962	6.359	-4.695
354.038	6.355	-4.413
359.188	6.351	-4.131
364.412	6.348	-3.857
369.713	6.345	-3.581
375.090	6.343	-3.310
380.546	6.341	-3.041
386.081	6.339	-2.772
391.697	6.338	-2.501
397.395	6.338	-2.231
403.175	6.339	-1.963
409.039	6.340	-1.698
414.989	6.342	-1.436
421.025	6.345	-1.178
427.149	6.349	-0.921
433.362	6.354	-0.668
439.665	6.360	-0.421
446.060	6.368	-0.188
452.548	6.376	0.025
459.131	6.384	0.210
465.809	6.390	0.376
472.584	6.392	0.541
479.458	6.392	0.724
486.432	6.392	0.926
493.507	6.393	1.141
500.686	6.395	1.363
507.968	6.399	1.585
515.357	6.403	1.808
522.853	6.407	2.031
530.458	6.412	2.259
538.174	6.418	2.487
546.002	6.426	2.710
553.943	6.436	2.924
562.001	6.446	3.120
570.175	6.456	3.298
578.469	6.464	3.457
586.883	6.469	3.610
595.419	6.472	3.783
604.080	6.475	3.981
612.866	6.480	4.194
621.780	6.486	4.412
630.824	6.493	4.630
640.000	6.502	4.847
649.309	6.512	5.062
658.753	6.522	5.273
668.335	6.533	5.479
678.056	6.545	5.679
687.919	6.558	5.875
697.925	6.571	6.062
708.076	6.585	6.242
718.376	6.599	6.413
728.825	6.613	6.574
739.426	6.627	6.726
750.181	6.640	6.867
761.093	6.652	7.003
772.163	6.663	7.139
783.394	6.673	7.281
794.789	6.682	7.432
806.349	6.691	7.594
818.078	6.701	7.768
829.977	6.712	7.949
842.050	6.726	8.130
854.297	6.741	8.299
866.724	6.756	8.447
879.330	6.770	8.585
892.120	6.784	8.718
905.097	6.798	8.836
918.262	6.808	8.949
931.618	6.816	9.088
945.169	6.825	9.247
958.917	6.836	9.412
972.864	6.848	9.575
987.015	6.860	9.732
1001.371	6.872	9.890
1015.937	6.884	10.051
1030.714	6.895	10.221
1045.706	6.908	10.397
1060.916	6.921	10.577
1076.347	6.935	10.757
1092.003	6.950	10.937
1107.887	6.966	11.117
1124.001	6.983	11.295
1140.350	7.000	11.469
1156.937	7.018	11.641
1173.765	7.037	11.809
1190.838	7.055	11.975
1208.159	7.075	12.136
1225.732	7.094	12.295
1243.561	7.114	12.453
1261.649	7.135	12.610
1280.000	7.155	12.765
1298.618	7.177	12.917
1317.507	7.198	13.069
1336.670	7.220	13.217
1356.113	7.243	13.364
1375.838	7.267	13.506
1395.850	7.292	13.642
1416.153	7.317	13.770
1436.751	7.343	13.884
1457.649	7.370	13.981
1478.851	7.395	14.058
1500.362	7.417	14.123
1522.185	7.436	14.195
1544.326	7.452	14.282
1566.789	7.469	14.388
1589.578	7.486	14.509
1612.699	7.504	14.638
1636.156	7.524	14.771
1659.955	7.545	14.903
1684.099	7.566	15.035
1708.595	7.587	15.166
1733.447	7.609	15.299
1758.661	7.632	15.431
1784.241	7.655	15.563
1810.193	7.678	15.695
1836.523	7.702	15.830
1863.236	7.726	15.966
1890.338	7.751	16.103
1917.833	7.778	16.238
1945.729	7.805	16.370
1974.030	7.833	16.498
2002.743	7.862	16.621
2031.873	7.891	16.741
2061.428	7.921	16.855
2091.412	7.951	16.964
2121.832	7.981	17.066
2152.695	8.011	17.162
2184.007	8.040	17.258
2215.774	8.069	17.360
2248.003	8.099	17.470
2280.701	8.131	17.582
2313.874	8.164	17.693
2347.530	8.198	17.797
2381.676	8.234	17.893
2416.318	8.272	17.979
2451.464	8.310	18.051
2487.122	8.349	18.108
